Number of cities (n);Execution time (s);minLength;minPath;maxLength;maxPath
3;   0.062;580;[1,0,2];786;[1,2,0]
4;   0.048;755;[2,1,0,3];1362;[2,1,3,0]
5;   0.066;851;[4,1,0,3,2];1632;[2,4,3,0,1]
6;   0.074;995;[4,5,1,0,3,2];1989;[2,1,5,3,0,4]
7;   0.087;1060;[1,0,6,3,2,4,5];2434;[4,6,5,3,0,1,2]
8;   0.097;1060;[5,0,2,7,3,6,1,4];3075;[2,1,7,4,6,5,3,0]
9;   0.116;1073;[0,8,2,7,3,6,1,4,5];3170;[1,7,4,6,8,5,3,0,2]
10;   0.133;1193;[1,4,5,0,8,2,7,9,3,6];3816;[5,9,0,2,1,7,4,6,8,3]
11;   0.138;1314;[10,4,5,0,8,2,7,3,9,6,1];4328;[10,7,4,9,0,6,8,5,3,1,2]
12;   0.153;1437;[2,9,3,6,11,1,10,4,5,0,8,7];4668;[3,5,9,0,2,11,8,1,7,4,6,10]
13;   0.168;1746;[10,1,11,2,7,9,3,6,8,0,12,4,5];5239;[11,8,5,6,10,7,4,3,12,9,0,1,2]
14;   0.179;1807;[10,12,13,8,6,3,9,7,2,11,1,0,4,5];5485;[0,6,2,12,9,10,8,1,7,11,5,13,4,3]
15;   0.192;1951;[14,7,2,1,0,11,4,5,10,12,13,6,3,9,8];5669;[4,13,0,6,10,2,12,9,8,5,3,1,7,11,14]
16;   0.202;2061;[15,1,11,0,4,5,10,12,13,8,14,7,9,2,3,6];5842;[7,1,2,11,15,13,4,6,8,12,9,0,3,5,14,10]
17;   0.215;2539;[11,6,9,3,16,7,8,14,2,1,0,15,13,4,5,10,12];6565;[7,11,16,13,2,4,3,15,12,9,0,5,6,8,10,14,1]
18;   0.232;2641;[17,0,10,12,13,11,1,14,7,9,16,8,6,3,2,15,4,5];7112;[10,16,4,13,5,2,15,9,0,8,12,7,11,14,1,3,17,6]
