Number of cities (n);Execution time (s);minLength;minPath;maxLength;maxPath
3;   0.057;683;[0,1,2];683;[1,2,0]
4;   0.068;862;[3,1,0,2];1335;[3,1,2,0]
5;   0.090;980;[2,3,1,0,4];1497;[2,0,3,4,1]
6;   0.113;1125;[0,1,3,2,4,5];1794;[0,2,1,5,3,4]
7;   0.136;1125;[0,5,4,2,3,6,1];2335;[3,4,6,0,2,1,5]
8;   0.157;1137;[2,7,3,6,1,0,5,4];2909;[6,0,2,1,7,5,3,4]
9;   0.178;1153;[5,4,8,2,7,3,6,1,0];2940;[6,8,0,2,1,7,5,3,4]
10;   0.200;1279;[9,3,6,1,0,5,4,8,2,7];3549;[4,6,8,9,5,7,1,2,0,3]
11;   0.222;1336;[7,2,8,0,4,5,10,1,6,3,9];4107;[8,6,4,3,5,9,0,2,10,7,1]
12;   0.241;1418;[2,9,3,6,11,1,10,4,5,0,8,7];4508;[0,6,4,3,5,9,10,8,11,7,1,2]
13;   0.266;1823;[3,6,8,0,11,1,10,12,4,5,2,7,9];4985;[8,1,9,5,3,10,7,12,2,4,6,0,11]
14;   0.288;1885;[10,12,13,8,6,3,9,7,2,11,1,0,4,5];5312;[4,9,10,7,11,2,1,8,12,3,0,13,5,6]
15;   0.309;2056;[11,10,5,12,1,4,0,8,6,3,9,7,2,14,13];5570;[3,0,13,5,6,2,12,14,1,8,11,7,10,9,4]
16;   0.326;2154;[15,1,11,0,4,5,10,12,13,8,14,7,9,2,3,6];5609;[6,4,9,0,13,5,7,10,3,15,2,12,14,1,8,11]
17;   0.347;2519;[13,6,14,2,16,9,3,7,8,4,12,10,5,0,11,15,1];6396;[9,15,13,14,11,8,12,7,1,16,4,3,5,2,0,6,10]
18;   0.364;2725;[11,12,17,10,1,0,7,9,16,3,2,14,8,6,13,15,4,5];6918;[7,1,16,12,2,4,13,15,3,5,9,17,6,10,14,0,8,11]
