Number of cities (n);Execution time (s);minLength;minPath;maxLength;maxPath
3;   0.066;764;[1,0,2];1002;[1,2,0]
4;   0.048;775;[3,2,1,0];1417;[2,0,3,1]
5;   0.062;934;[1,0,4,3,2];1716;[3,0,2,4,1]
6;   0.073;971;[1,0,5,4,3,2];1986;[5,2,4,1,3,0]
7;   0.089;988;[0,5,4,6,2,3,1];2290;[4,1,3,0,6,5,2]
8;   0.101;1260;[3,1,7,4,5,0,6,2];2888;[5,2,4,1,3,7,0,6]
9;   0.111;1362;[3,2,8,4,5,7,1,0,6];3482;[8,0,3,7,6,5,2,4,1]
10;   0.131;1314;[6,1,9,7,4,5,0,8,2,3];3901;[2,4,1,8,0,9,3,7,6,5]
11;   0.137;1370;[8,3,6,1,9,7,4,5,0,10,2];4114;[9,3,5,2,7,10,4,1,8,0,6]
12;   0.149;1444;[4,11,8,2,3,6,10,0,1,5,9,7];4458;[3,7,6,5,2,4,10,9,8,1,11,0]
13;   0.167;1677;[8,12,6,10,5,0,1,9,7,4,11,2,3];5192;[6,5,2,4,10,9,8,1,11,3,7,12,0]
14;   0.181;1866;[11,6,3,2,12,8,10,5,0,1,9,7,13,4];5236;[8,0,3,4,10,5,2,7,12,9,6,13,11,1]
15;   0.193;1923;[12,8,4,7,9,14,0,1,5,13,10,11,6,3,2];5748;[8,14,12,0,11,3,7,13,5,2,4,10,9,6,1]
16;   0.200;2395;[4,13,10,6,12,15,11,8,2,3,0,7,9,1,14,5];6490;[13,3,7,12,9,6,14,10,5,11,1,2,4,15,0,8]
17;   0.217;2492;[10,1,14,5,0,9,7,4,16,6,3,2,15,12,11,8,13];6866;[9,10,8,0,11,13,2,4,15,14,12,5,3,7,6,1,16]
18;   0.231;2719;[11,16,17,4,5,13,0,1,9,14,7,8,10,6,3,2,12,15];7042;[3,7,12,1,8,0,11,17,10,9,15,5,2,14,6,4,13,16]
