Number of cities (n);Execution time (s);minLength;minPath;maxLength;maxPath
3;   0.000;996;[0,1,2];1324;[0,2,1]
4;   0.000;1036;[0,1,3,2];1529;[0,3,2,1]
5;   0.000;1213;[0,1,4,3,2];2364;[0,3,1,2,4]
6;   0.000;1250;[0,1,4,3,5,2];2691;[0,3,2,4,5,1]
7;   0.000;1305;[0,5,6,1,4,3,2];2970;[0,6,3,2,4,5,1]
8;   0.000;1307;[0,5,3,6,1,4,7,2];3325;[0,3,7,6,2,4,5,1]
9;   0.001;1409;[0,5,3,6,1,4,7,8,2];3699;[0,3,2,4,5,8,6,7,1]
10;   0.008;1405;[0,5,3,6,9,1,4,7,8,2];4327;[0,3,8,9,7,6,2,4,5,1]
11;   0.075;1411;[0,5,3,6,9,1,4,10,8,2,7];4499;[0,10,8,9,7,6,3,2,4,5,1]
12;   0.677;1583;[0,5,3,6,9,1,4,10,11,2,7,8];4804;[0,10,3,11,8,9,7,6,2,4,5,1]
13;   7.963;1542;[0,7,8,2,11,12,1,4,9,6,10,3,5];5246;[0,10,2,4,11,8,9,7,6,3,12,5,1]
14; 103.114;1504;[0,7,8,2,13,11,12,1,4,9,6,10,3,5];5639;[0,10,13,9,7,6,3,11,8,12,2,4,5,1]
