Number of cities (n);Execution time (s);minLength;minPath;maxLength;maxPath
3;   0.061;996;[0,1,2];1324;[0,2,1]
4;   0.049;1036;[2,0,1,3];1529;[3,2,1,0]
5;   0.067;1213;[0,1,4,3,2];2364;[4,0,3,1,2]
6;   0.082;1250;[0,1,4,3,5,2];2691;[3,2,4,5,1,0]
7;   0.097;1305;[2,0,5,6,1,4,3];2970;[1,0,6,3,2,4,5]
8;   0.117;1307;[6,1,4,7,2,0,5,3];3325;[2,4,5,1,0,3,7,6]
9;   0.131;1409;[0,5,3,6,1,4,7,8,2];3699;[6,2,4,5,7,1,0,3,8]
10;   0.153;1405;[4,7,8,2,0,5,3,6,9,1];4327;[6,2,4,5,1,0,3,8,9,7]
11;   0.164;1447;[1,4,3,7,8,2,0,5,10,6,9];4423;[6,2,9,7,4,5,1,0,10,3,8]
12;   0.182;1593;[2,8,7,0,5,3,6,9,1,4,10,11];4730;[0,10,2,9,7,6,3,4,5,11,8,1]
13;   0.193;1719;[10,3,5,7,2,8,0,11,6,9,12,1,4];5091;[7,12,2,9,3,6,11,8,4,5,1,0,10]
14;   0.211;1778;[10,3,7,2,8,13,0,5,11,12,1,4,9,6];5425;[10,2,4,5,3,9,7,12,13,6,11,8,1,0]
15;   0.229;1896;[7,2,13,14,11,12,4,1,3,6,9,10,5,0,8];5775;[13,9,14,3,10,7,12,5,11,2,4,8,1,0,6]
16;   0.244;2205;[8,2,15,11,5,3,6,1,4,12,9,10,14,13,0,7];6395;[6,11,8,9,15,1,13,12,5,10,7,3,14,4,0,2]
17;   0.262;2302;[16,14,13,0,4,1,12,9,6,10,5,7,8,2,15,11,3];6645;[13,16,15,1,0,9,14,4,5,10,7,12,8,11,2,6,3]
18;   0.275;2644;[15,2,14,11,10,5,4,1,16,12,9,6,3,13,0,17,7,8];7175;[10,8,12,5,11,7,16,17,1,2,4,14,3,13,9,0,6,15]
